受信日：8/1-9/17,,,,,,,,,,,,
No,受付年度,受付課,受付番号,状態,受信日,情報名,登録地点,路線名,対応種別,完了年月日,緯度,経度
1,2025,清水道路整備課,1371,完了,2025年8月1日,交差点名標識フリガナ誤記,静岡市清水区新富町5-13,静岡草薙清水線,,2025年9月1日,35.01438638,138.4809853
2,2025,葵南道路整備課,1483,完了,2025年8月1日,【道路施設損傷事故】縁石にぶつけた,静岡市葵区池ケ谷東１,池ヶ谷１５号線,事故,2025年8月6日,35.00465208,138.3832168
3,2025,清水道路整備課,1370,依頼済,2025年8月1日,交差点標識の復旧,静岡市清水区宮加三50,駒越富士見線,,,34.98698359,138.4885418
4,2025,清水道路整備課,1369,依頼済,2025年8月1日,交差点名標識が見えない,静岡市清水区宮加三1-6,国道150号,,,34.98954239,138.4975069
5,2025,駿河道路整備課,1463,依頼済,2025年8月1日,道路(舗装の穴など),静岡県静岡市駿河区中原８６５,丸子池田線,除草,,34.95625097,138.3846799
6,2025,清水道路整備課,1368,未対応,2025年8月1日,要望書【№96】道路清掃及び側溝のつまり,静岡市清水区由比　寺尾,今宿寺尾山手線,,,35.09584741,138.5455488
7,2025,清水道路整備課,1367,対応中,2025年8月1日,横断側溝ガタツキによる騒音,静岡市清水区三保,弁天１号線,,,34.99828388,138.5148311
8,2025,葵南道路整備課,1482,対応中,2025年8月1日,民地内にあるカーブミラーの移設,静岡市葵区産女,産女本線,,,34.9775566,138.3294478
9,2025,駿河道路整備課,1457,完了,2025年8月1日,(事故)カーブミラーの柱に接触,静岡市駿河区登呂６丁目１９,東名側道西島１号線,,2025年8月5日,34.95117922,138.4060552
10,2025,葵南道路整備課,1481,完了,2025年8月1日,舗装端部と側溝の間に隙間,静岡市葵区安東一丁目５,駿府町北安東線,舗装,2025年8月6日,34.98487417,138.3859483
11,2025,清水道路整備課,1365,対応中,2025年8月1日,要望書【№95】ガードレールの設置,静岡市清水区由比　入山,由比富士川線,,,35.14879811,138.5716896
12,2025,清水道路整備課,1364,完了,2025年8月1日,常点,静岡市清水区蛇塚,国道150号,,2025年8月4日,34.96393275,138.4775455
13,2025,駿河道路整備課,1532,完了,2025年8月1日,AS穴,静岡市駿河区丸子,（一）藤枝静岡線,,2025年8月8日,34.93847524,138.3131578
14,2025,駿河道路整備課,1456,完了,2025年8月1日,除草希望,南安部３,南安倍町中島安倍川左岸堤線,除草,2025年8月19日,34.95913329,138.3740193
15,2025,清水道路整備課,1363,未対応,2025年8月1日,要望書【№94】アンダーパス増水時注意喚起,静岡市清水区蒲原　神沢126-1,市道ではない,,,35.11289779,138.5791237
16,2025,葵南道路整備課,1480,完了,2025年8月1日,防護柵などその他→川合歩道橋,静岡県静岡市葵区川合三丁目１２－１２－３０６,バイパス側道,その他,2025年8月4日,35.007445,138.411511
17,2025,清水道路整備課,1361,完了,2025年8月1日,【事故No.50】ガードレール,静岡市清水区下野西１３-25付近,下野西山原線,事故,2025年8月7日,35.03798126,138.4661382
18,2025,葵南道路整備課,1478,完了,2025年8月1日,陥没（民地の可能性が高い）,静岡市葵区新富町四丁目,民地？,その他,2025年8月18日,34.97114387,138.3690572
19,2025,葵南道路整備課,1477,完了,2025年8月1日,折れた枝の除去,静岡市葵区北沼上地内,上土長尾線,その他,2025年8月1日,35.03363091,138.4231328
20,2025,駿河道路整備課,1454,完了,2025年8月1日,道路(舗装の穴など),静岡市駿河区東静岡２丁目２,東静岡南口駅前線,構造物,2025年8月14日,34.98436136,138.415111
21,2025,葵南道路整備課,1476,完了,2025年8月1日,鳩　死骸,静岡市葵区追手町１,市役所線,動物死骸,2025年8月1日,34.97413398,138.3848797
22,2025,清水道路整備課,1360,完了,2025年8月1日,ゴミ置き場横の三角形の土地はどこが管理しているのか,静岡市清水区下野中２３,山原下野中線,,2025年8月19日,35.03871657,138.4669853
23,2025,清水道路整備課,1359,完了,2025年8月1日,街路樹が大きくなって枝が歩行者や車に当たる,静岡市清水区三保松原町,塚間羽衣線,,2025年8月1日,34.99685595,138.5204452
24,2025,葵南道路整備課,1475,完了,2025年8月1日,回収（Asガラ）,静岡市葵区竜南一丁目１９－１,千代田麻機線,その他,2025年8月4日,34.99783054,138.3949836
25,2025,葵南道路整備課,1474,対応中,2025年8月1日,街渠桝が臭う,静岡市葵区新富町四丁目１０－１２,新富町本通西町線,構造物,,34.97084133,138.3698545
26,2025,駿河道路整備課,1453,完了,2025年8月1日,点字シート?がれ,静岡市駿河区馬渕４丁目１２,丸子池田線,,2025年9月1日,34.96009732,138.3899866
27,2025,駿河道路整備課,1452,対応中,2025年8月1日,隣家からの樹木を切ってほしい,静岡市駿河区下川原５丁目７ー３,下川原１号線,,,34.93606048,138.3765338
28,2025,葵南道路整備課,1473,完了,2025年8月1日,歩道ぐらつき,静岡市葵区呉服町二丁目１－９,市役所線,構造物,2025年8月6日,34.974852,138.3829894
29,2025,葵南道路整備課,1472,完了,2025年8月1日,【道路施設損傷事故】ガードパイプをこすった,静岡市葵区駒形通一丁目2-11　地先,西門町新富町線,,2025年8月19日,34.97002455,138.3783811
30,2025,葵南道路整備課,1479,対応中,2025年8月1日,東静岡駅北口　女子トイレの手洗い場故障,静岡市葵区東静岡一丁目１,東静岡駅北口女子トイレ,,,34.98551213,138.4129601
31,2025,清水道路整備課,1358,完了,2025年8月1日,道路(舗装の穴など),静岡県静岡市清水区渋川三丁目１１－１１,渋川区画７号線,As穴,2025年8月4日,35.019836,138.466903
32,2025,駿河道路整備課,1451,完了,2025年8月1日,ガードレールに接触した,静岡市駿河区用宗１丁目２,広野青木線,,2025年8月1日,34.93316742,138.3639631
33,2025,駿河道路整備課,1450,完了,2025年8月1日,障害物,静岡市駿河区西島地内,静岡清水自転車道線,,2025年8月4日,34.93995479,138.4086038
34,2025,清水道路整備課,1357,対応中,2025年8月1日,草刈り,静岡市清水区庵原町,庵原町５４号線,,,35.04527249,138.4707787
35,2025,清水道路整備課,1356,完了,2025年8月1日,植え込みの草刈りについて,静岡市清水区草薙一里山４,一里山長崎１号線,,2025年9月4日,35.00628535,138.4531324
36,2025,清水道路整備課,1355,完了,2025年8月1日,【緊急ダイヤル】As穴,静岡市清水区八坂町,,,2025年8月1日,35.04117947,138.4718367
37,2025,葵南道路整備課,1470,完了,2025年8月1日,側溝蓋がたつき音解消,瀬名一丁目26-29地先,瀬名山田１号線,側溝,2025年9月8日,35.01456399,138.4245928
38,2025,葵南道路整備課,1471,完了,2025年8月1日,床板の損傷？,静岡市葵区東千代田一丁目７,沓谷千代田３号線,構造物,2025年8月5日,35.00069283,138.4085823
39,2025,清水道路整備課,1366,未対応,2025年8月1日,街路樹剪定,静岡市清水区庵原町,,,,35.04498488,138.4708324
40,2025,道路保全課,24,完了,2025年8月2日,動物死骸,静岡市駿河区宇津ノ谷,国道1号,動物死骸,2025年8月4日,34.9390055,138.3129607
41,2025,駿河道路整備課,1460,対応中,2025年8月2日,中央分離帯に乗り上げた,静岡市駿河区大谷3681-21,山脇大谷線,その他,,34.95356345,138.4286664
42,2025,駿河道路整備課,1459,完了,2025年8月2日,砂利の散乱,静岡市駿河区池田157-1,山脇大谷線,その他,2025年8月2日,34.98588802,138.4223627
43,2025,清水道路整備課,1373,完了,2025年8月2日,松の木に亀裂,静岡市清水区三保,塚間羽衣２号線,その他,2025年8月5日,34.99717961,138.5216515
44,2025,駿河道路整備課,1458,完了,2025年8月2日,動物死骸,静岡市駿河区宇津ノ谷,国道1号現道,動物死骸,2025年8月2日,34.93900785,138.31298
45,2025,清水道路整備課,1372,完了,2025年8月2日,動物死骸,静岡市清水区蒲原２丁目4-8,県道富士由比線,動物死骸,2025年8月2日,35.11960442,138.6076161
46,2025,駿河道路整備課,1461,完了,2025年8月3日,動物死骸,静岡市駿河区東新田３丁目４,東新田区画1号線,動物死骸,2025年8月3日,34.94727917,138.3706362
47,2025,駿河道路整備課,1500,完了,2025年8月3日,段差,静岡市駿河区平沢101,池田日本平線,,2025年9月2日,34.97797348,138.4474007
48,2025,駿河道路整備課,1491,依頼済,2025年8月3日,道路(舗装の穴など),静岡県静岡市駿河区聖一色地内,長沼栗原線,舗装,,34.991623,138.423368
49,2025,駿河道路整備課,1464,完了,2025年8月3日,道路(舗装の穴など),静岡県静岡市駿河区丸子新田２４７,丸子池田線,As穴,2025年8月6日,34.94701342,138.369344
50,2025,葵南道路整備課,1500,完了,2025年8月4日,動物の死骸,静岡市葵区吉津173-1,静岡朝比奈藤枝線,動物死骸,2025年8月5日,34.98093491,138.3090659
51,2025,葵南道路整備課,1502,対応中,2025年8月4日,防護柵などその他→ラバーポール損傷,静岡県静岡市葵区伝馬町１０－１,御幸町鷹匠町２号線,その他,2025年8月5日,34.974686,138.388375
